Source;Target;Value;GEO;Year;Tag
Energy Use;Commercial;882;Canada;1995;Super-Sankey
Total Use;Energy Use;6719;Canada;1995;Super-Sankey
Total Energy Inputs;Energy Exports;7485;Canada;1995;Super-Sankey
Energy Imports;Total Energy Inputs;2062;Canada;1995;Super-Sankey
Total Energy Inputs;To Other Provinces;0;Canada;1995;Super-Sankey
Total Use;Non-energy use;832;Canada;1995;Super-Sankey
Other Inputs;Total Energy Inputs;149;Canada;1995;Super-Sankey
Energy Use;Producer consumption;1056;Canada;1995;Super-Sankey
Energy Use;Public administration;143;Canada;1995;Super-Sankey
Energy Use;Residential;1256;Canada;1995;Super-Sankey
Statistical difference;Total Energy Inputs;461;Canada;1995;Super-Sankey
Stocks;Total Energy Inputs;75;Canada;1995;Super-Sankey
Energy Use;Industrial;2109;Canada;1995;Super-Sankey
Energy Use;Transportation;2065;Canada;1995;Super-Sankey
Energy Production;Total Energy Inputs;130;Manitoba;1995;Super-Sankey
Energy Use;Agriculture;22;Manitoba;1995;Super-Sankey
Energy Use;Commercial;46;Manitoba;1995;Super-Sankey
Total Use;Energy Use;255;Manitoba;1995;Super-Sankey
Total Energy Inputs;Energy Exports;1;Manitoba;1995;Super-Sankey
Energy Imports;Total Energy Inputs;1;Manitoba;1995;Super-Sankey
From Other Provinces;Total Energy Inputs;1;Manitoba;1995;Super-Sankey
Total Use;Non-energy use;1;Manitoba;1995;Super-Sankey
Other Inputs;Total Energy Inputs;2;Manitoba;1995;Super-Sankey
Energy Use;Producer consumption;1;Manitoba;1995;Super-Sankey
Energy Use;Public administration;6;Manitoba;1995;Super-Sankey
Energy Use;Residential;47;Manitoba;1995;Super-Sankey
Total Energy Inputs;Statistical difference;1;Manitoba;1995;Super-Sankey
Total Energy Inputs;Stocks;1;Manitoba;1995;Super-Sankey
Energy Use;Industrial;36;Manitoba;1995;Super-Sankey
Energy Use;Transportation;97;Manitoba;1995;Super-Sankey
Energy Production;Total Energy Inputs;23;New Brunswick;1995;Super-Sankey
Energy Use;Agriculture;3;New Brunswick;1995;Super-Sankey
Energy Use;Commercial;18;New Brunswick;1995;Super-Sankey
Total Use;Energy Use;172;New Brunswick;1995;Super-Sankey
Total Energy Inputs;Energy Exports;1;New Brunswick;1995;Super-Sankey
Energy Imports;Total Energy Inputs;1;New Brunswick;1995;Super-Sankey
From Other Provinces;Total Energy Inputs;1;New Brunswick;1995;Super-Sankey
Total Use;Non-energy use;1;New Brunswick;1995;Super-Sankey
Other Inputs;Total Energy Inputs;2;New Brunswick;1995;Super-Sankey
Energy Use;Producer consumption;1;New Brunswick;1995;Super-Sankey
Energy Use;Public administration;6;New Brunswick;1995;Super-Sankey
Energy Use;Residential;27;New Brunswick;1995;Super-Sankey
Total Energy Inputs;Statistical difference;1;New Brunswick;1995;Super-Sankey
Total Energy Inputs;Stocks;1;New Brunswick;1995;Super-Sankey
Energy Use;Industrial;56;New Brunswick;1995;Super-Sankey
Energy Use;Transportation;55;New Brunswick;1995;Super-Sankey
Energy Production;Total Energy Inputs;131;Newfoundland and Labrador;1995;Super-Sankey
Energy Use;Agriculture;1;Newfoundland and Labrador;1995;Super-Sankey
Energy Use;Commercial;8;Newfoundland and Labrador;1995;Super-Sankey
Total Use;Energy Use;109;Newfoundland and Labrador;1995;Super-Sankey
Total Energy Inputs;Energy Exports;1;Newfoundland and Labrador;1995;Super-Sankey
Energy Imports;Total Energy Inputs;1;Newfoundland and Labrador;1995;Super-Sankey
From Other Provinces;Total Energy Inputs;1;Newfoundland and Labrador;1995;Super-Sankey
Total Use;Non-energy use;1;Newfoundland and Labrador;1995;Super-Sankey
Other Inputs;Total Energy Inputs;2;Newfoundland and Labrador;1995;Super-Sankey
Energy Use;Producer consumption;1;Newfoundland and Labrador;1995;Super-Sankey
Energy Use;Public administration;9;Newfoundland and Labrador;1995;Super-Sankey
Energy Use;Residential;19;Newfoundland and Labrador;1995;Super-Sankey
Statistical difference;Total Energy Inputs;0;Newfoundland and Labrador;1995;Super-Sankey
Total Energy Inputs;Stocks;1;Newfoundland and Labrador;1995;Super-Sankey
Energy Use;Industrial;37;Newfoundland and Labrador;1995;Super-Sankey
Energy Use;Transportation;37;Newfoundland and Labrador;1995;Super-Sankey
Energy Production;Total Energy Inputs;0;Northwest Territories;1995;Super-Sankey
Energy Use;Agriculture;0;Northwest Territories;1995;Super-Sankey
Energy Use;Commercial;0;Northwest Territories;1995;Super-Sankey
Total Use;Energy Use;0;Northwest Territories;1995;Super-Sankey
Energy Imports;Total Energy Inputs;0;Northwest Territories;1995;Super-Sankey
Total Energy Inputs;To Other Provinces;0;Northwest Territories;1995;Super-Sankey
Total Use;Non-energy use;0;Northwest Territories;1995;Super-Sankey
Other Inputs;Total Energy Inputs;0;Northwest Territories;1995;Super-Sankey
Energy Use;Producer consumption;0;Northwest Territories;1995;Super-Sankey
Energy Use;Public administration;0;Northwest Territories;1995;Super-Sankey
Energy Use;Residential;0;Northwest Territories;1995;Super-Sankey
Statistical difference;Total Energy Inputs;0;Northwest Territories;1995;Super-Sankey
Stocks;Total Energy Inputs;0;Northwest Territories;1995;Super-Sankey
Energy Use;Industrial;0;Northwest Territories;1995;Super-Sankey
Energy Use;Transportation;0;Northwest Territories;1995;Super-Sankey
Energy Production;Total Energy Inputs;123;Nova Scotia;1995;Super-Sankey
Energy Use;Agriculture;4;Nova Scotia;1995;Super-Sankey
Energy Use;Commercial;22;Nova Scotia;1995;Super-Sankey
Total Use;Energy Use;159;Nova Scotia;1995;Super-Sankey
Total Energy Inputs;Energy Exports;1;Nova Scotia;1995;Super-Sankey
Energy Imports;Total Energy Inputs;1;Nova Scotia;1995;Super-Sankey
From Other Provinces;Total Energy Inputs;1;Nova Scotia;1995;Super-Sankey
Total Use;Non-energy use;1;Nova Scotia;1995;Super-Sankey
Other Inputs;Total Energy Inputs;2;Nova Scotia;1995;Super-Sankey
Energy Use;Producer consumption;1;Nova Scotia;1995;Super-Sankey
Energy Use;Public administration;11;Nova Scotia;1995;Super-Sankey
Energy Use;Residential;33;Nova Scotia;1995;Super-Sankey
Total Energy Inputs;Statistical difference;1;Nova Scotia;1995;Super-Sankey
Total Energy Inputs;Stocks;1;Nova Scotia;1995;Super-Sankey
Energy Use;Industrial;25;Nova Scotia;1995;Super-Sankey
Energy Use;Transportation;66;Nova Scotia;1995;Super-Sankey
Energy Use;Agriculture;0;Nunavut;1995;Super-Sankey
Energy Use;Commercial;0;Nunavut;1995;Super-Sankey
Total Use;Energy Use;0;Nunavut;1995;Super-Sankey
Total Energy Inputs;Energy Exports;0;Nunavut;1995;Super-Sankey
Total Energy Inputs;To Other Provinces;0;Nunavut;1995;Super-Sankey
Total Use;Non-energy use;0;Nunavut;1995;Super-Sankey
Other Inputs;Total Energy Inputs;0;Nunavut;1995;Super-Sankey
Energy Use;Public administration;0;Nunavut;1995;Super-Sankey
Energy Use;Residential;0;Nunavut;1995;Super-Sankey
Statistical difference;Total Energy Inputs;0;Nunavut;1995;Super-Sankey
Energy Use;Industrial;0;Nunavut;1995;Super-Sankey
Energy Use;Transportation;0;Nunavut;1995;Super-Sankey
Energy Production;Total Energy Inputs;479;Ontario;1995;Super-Sankey
Energy Use;Agriculture;51;Ontario;1995;Super-Sankey
Energy Use;Commercial;299;Ontario;1995;Super-Sankey
Total Use;Energy Use;2322;Ontario;1995;Super-Sankey
Total Energy Inputs;Energy Exports;1020;Ontario;1995;Super-Sankey
Energy Imports;Total Energy Inputs;372;Ontario;1995;Super-Sankey
From Other Provinces;Total Energy Inputs;2997;Ontario;1995;Super-Sankey
Total Use;Non-energy use;269;Ontario;1995;Super-Sankey
Other Inputs;Total Energy Inputs;85;Ontario;1995;Super-Sankey
Energy Use;Producer consumption;139;Ontario;1995;Super-Sankey
Energy Use;Public administration;31;Ontario;1995;Super-Sankey
Energy Use;Residential;509;Ontario;1995;Super-Sankey
Statistical difference;Total Energy Inputs;101;Ontario;1995;Super-Sankey
Stocks;Total Energy Inputs;56;Ontario;1995;Super-Sankey
Energy Use;Industrial;701;Ontario;1995;Super-Sankey
Energy Use;Transportation;701;Ontario;1995;Super-Sankey
Energy Production;Total Energy Inputs;0;Prince Edward Island;1995;Super-Sankey
Energy Use;Agriculture;2;Prince Edward Island;1995;Super-Sankey
Energy Use;Commercial;4;Prince Edward Island;1995;Super-Sankey
Total Use;Energy Use;20;Prince Edward Island;1995;Super-Sankey
From Other Provinces;Total Energy Inputs;1;Prince Edward Island;1995;Super-Sankey
Total Use;Non-energy use;1;Prince Edward Island;1995;Super-Sankey
Other Inputs;Total Energy Inputs;2;Prince Edward Island;1995;Super-Sankey
Energy Use;Producer consumption;1;Prince Edward Island;1995;Super-Sankey
Energy Use;Public administration;1;Prince Edward Island;1995;Super-Sankey
Energy Use;Residential;5;Prince Edward Island;1995;Super-Sankey
Total Energy Inputs;Statistical difference;1;Prince Edward Island;1995;Super-Sankey
Total Energy Inputs;Stocks;1;Prince Edward Island;1995;Super-Sankey
Energy Use;Industrial;2;Prince Edward Island;1995;Super-Sankey
Energy Use;Transportation;8;Prince Edward Island;1995;Super-Sankey
Energy Production;Total Energy Inputs;622;Quebec;1995;Super-Sankey
Energy Use;Agriculture;19;Quebec;1995;Super-Sankey
Energy Use;Commercial;158;Quebec;1995;Super-Sankey
Total Use;Energy Use;1364;Quebec;1995;Super-Sankey
Total Energy Inputs;Energy Exports;164;Quebec;1995;Super-Sankey
Energy Imports;Total Energy Inputs;833;Quebec;1995;Super-Sankey
From Other Provinces;Total Energy Inputs;324;Quebec;1995;Super-Sankey
Total Use;Non-energy use;64;Quebec;1995;Super-Sankey
Other Inputs;Total Energy Inputs;-9;Quebec;1995;Super-Sankey
Energy Use;Producer consumption;93;Quebec;1995;Super-Sankey
Energy Use;Public administration;39;Quebec;1995;Super-Sankey
Energy Use;Residential;261;Quebec;1995;Super-Sankey
Total Energy Inputs;Statistical difference;43;Quebec;1995;Super-Sankey
Stocks;Total Energy Inputs;8;Quebec;1995;Super-Sankey
Energy Use;Industrial;512;Quebec;1995;Super-Sankey
Energy Use;Transportation;373;Quebec;1995;Super-Sankey
Energy Production;Total Energy Inputs;1247;Saskatchewan;1995;Super-Sankey
Energy Use;Agriculture;50;Saskatchewan;1995;Super-Sankey
Energy Use;Commercial;43;Saskatchewan;1995;Super-Sankey
Total Use;Energy Use;363;Saskatchewan;1995;Super-Sankey
Total Energy Inputs;Energy Exports;1;Saskatchewan;1995;Super-Sankey
Energy Imports;Total Energy Inputs;1;Saskatchewan;1995;Super-Sankey
From Other Provinces;Total Energy Inputs;1;Saskatchewan;1995;Super-Sankey
Total Use;Non-energy use;1;Saskatchewan;1995;Super-Sankey
Other Inputs;Total Energy Inputs;2;Saskatchewan;1995;Super-Sankey
Energy Use;Producer consumption;1;Saskatchewan;1995;Super-Sankey
Energy Use;Public administration;5;Saskatchewan;1995;Super-Sankey
Energy Use;Residential;50;Saskatchewan;1995;Super-Sankey
Total Energy Inputs;Statistical difference;1;Saskatchewan;1995;Super-Sankey
Total Energy Inputs;Stocks;1;Saskatchewan;1995;Super-Sankey
Energy Use;Industrial;88;Saskatchewan;1995;Super-Sankey
Energy Use;Transportation;124;Saskatchewan;1995;Super-Sankey
Energy Production;Total Energy Inputs;0;Yukon;1995;Super-Sankey
Energy Use;Agriculture;0;Yukon;1995;Super-Sankey
Energy Use;Commercial;0;Yukon;1995;Super-Sankey
Total Use;Energy Use;0;Yukon;1995;Super-Sankey
Total Energy Inputs;Energy Exports;0;Yukon;1995;Super-Sankey
Energy Imports;Total Energy Inputs;0;Yukon;1995;Super-Sankey
Total Energy Inputs;To Other Provinces;0;Yukon;1995;Super-Sankey
Total Use;Non-energy use;0;Yukon;1995;Super-Sankey
Other Inputs;Total Energy Inputs;0;Yukon;1995;Super-Sankey
Energy Use;Producer consumption;0;Yukon;1995;Super-Sankey
Energy Use;Public administration;0;Yukon;1995;Super-Sankey
Energy Use;Residential;0;Yukon;1995;Super-Sankey
Statistical difference;Total Energy Inputs;0;Yukon;1995;Super-Sankey
Stocks;Total Energy Inputs;0;Yukon;1995;Super-Sankey
Energy Use;Industrial;0;Yukon;1995;Super-Sankey
Energy Use;Transportation;0;Yukon;1995;Super-Sankey
Energy Production;Total Energy Inputs;0;Yukon, Northwest Territories and Nunavut;1995;Super-Sankey
Energy Use;Agriculture;0;Yukon, Northwest Territories and Nunavut;1995;Super-Sankey
Energy Use;Commercial;8;Yukon, Northwest Territories and Nunavut;1995;Super-Sankey
Total Use;Energy Use;17;Yukon, Northwest Territories and Nunavut;1995;Super-Sankey
Total Energy Inputs;Energy Exports;1;Yukon, Northwest Territories and Nunavut;1995;Super-Sankey
Energy Imports;Total Energy Inputs;1;Yukon, Northwest Territories and Nunavut;1995;Super-Sankey
From Other Provinces;Total Energy Inputs;1;Yukon, Northwest Territories and Nunavut;1995;Super-Sankey
Total Use;Non-energy use;1;Yukon, Northwest Territories and Nunavut;1995;Super-Sankey
Other Inputs;Total Energy Inputs;2;Yukon, Northwest Territories and Nunavut;1995;Super-Sankey
Energy Use;Producer consumption;1;Yukon, Northwest Territories and Nunavut;1995;Super-Sankey
Energy Use;Public administration;5;Yukon, Northwest Territories and Nunavut;1995;Super-Sankey
Energy Use;Residential;3;Yukon, Northwest Territories and Nunavut;1995;Super-Sankey
Total Energy Inputs;Statistical difference;1;Yukon, Northwest Territories and Nunavut;1995;Super-Sankey
Total Energy Inputs;Stocks;1;Yukon, Northwest Territories and Nunavut;1995;Super-Sankey
Energy Use;Industrial;0;Yukon, Northwest Territories and Nunavut;1995;Super-Sankey
Energy Use;Transportation;0;Yukon, Northwest Territories and Nunavut;1995;Super-Sankey
Energy Production;Total Energy Inputs;10043;Alberta;1996;Super-Sankey
Energy Use;Agriculture;53;Alberta;1996;Super-Sankey
Energy Use;Commercial;152;Alberta;1996;Super-Sankey
Total Use;Energy Use;1151;Alberta;1996;Super-Sankey
Total Energy Inputs;Energy Exports;795;Alberta;1996;Super-Sankey
Energy Imports;Total Energy Inputs;2;Alberta;1996;Super-Sankey
Total Energy Inputs;To Other Provinces;6998;Alberta;1996;Super-Sankey
Total Use;Non-energy use;404;Alberta;1996;Super-Sankey
Other Inputs;Total Energy Inputs;62;Alberta;1996;Super-Sankey
Energy Use;Producer consumption;576;Alberta;1996;Super-Sankey
Energy Use;Public administration;14;Alberta;1996;Super-Sankey
Energy Use;Residential;188;Alberta;1996;Super-Sankey
Statistical difference;Total Energy Inputs;205;Alberta;1996;Super-Sankey
Stocks;Total Energy Inputs;37;Alberta;1996;Super-Sankey
Energy Use;Industrial;434;Alberta;1996;Super-Sankey
Energy Use;Transportation;297;Alberta;1996;Super-Sankey
Energy Production;Total Energy Inputs;300;Atlantic provinces;1996;Super-Sankey
Energy Use;Agriculture;9;Atlantic provinces;1996;Super-Sankey
Energy Use;Commercial;51;Atlantic provinces;1996;Super-Sankey
Total Use;Energy Use;466;Atlantic provinces;1996;Super-Sankey
Total Energy Inputs;Energy Exports;504;Atlantic provinces;1996;Super-Sankey
Energy Imports;Total Energy Inputs;901;Atlantic provinces;1996;Super-Sankey
Total Energy Inputs;To Other Provinces;10;Atlantic provinces;1996;Super-Sankey
Total Use;Non-energy use;29;Atlantic provinces;1996;Super-Sankey
Other Inputs;Total Energy Inputs;-16;Atlantic provinces;1996;Super-Sankey
Energy Use;Producer consumption;63;Atlantic provinces;1996;Super-Sankey
Energy Use;Public administration;24;Atlantic provinces;1996;Super-Sankey
Energy Use;Residential;85;Atlantic provinces;1996;Super-Sankey
Statistical difference;Total Energy Inputs;92;Atlantic provinces;1996;Super-Sankey
Total Energy Inputs;Stocks;16;Atlantic provinces;1996;Super-Sankey
Energy Use;Industrial;119;Atlantic provinces;1996;Super-Sankey
Energy Use;Transportation;169;Atlantic provinces;1996;Super-Sankey
Energy Production;Total Energy Inputs;1898;British Columbia;1996;Super-Sankey
Energy Use;Agriculture;11;British Columbia;1996;Super-Sankey
Energy Use;Commercial;114;British Columbia;1996;Super-Sankey
Total Use;Energy Use;873;British Columbia;1996;Super-Sankey
Total Energy Inputs;Energy Exports;1;British Columbia;1996;Super-Sankey
Energy Imports;Total Energy Inputs;1;British Columbia;1996;Super-Sankey
From Other Provinces;Total Energy Inputs;1;British Columbia;1996;Super-Sankey
Total Use;Non-energy use;1;British Columbia;1996;Super-Sankey
Other Inputs;Total Energy Inputs;2;British Columbia;1996;Super-Sankey
Energy Use;Producer consumption;1;British Columbia;1996;Super-Sankey
Energy Use;Public administration;18;British Columbia;1996;Super-Sankey
Energy Use;Residential;147;British Columbia;1996;Super-Sankey
Total Energy Inputs;Statistical difference;1;British Columbia;1996;Super-Sankey
Total Energy Inputs;Stocks;1;British Columbia;1996;Super-Sankey
Energy Use;Industrial;259;British Columbia;1996;Super-Sankey
Energy Use;Transportation;324;British Columbia;1996;Super-Sankey
Energy Production;Total Energy Inputs;14742;Canada;1996;Super-Sankey
Energy Use;Agriculture;222;Canada;1996;Super-Sankey
Energy Use;Commercial;877;Canada;1996;Super-Sankey
Total Use;Energy Use;6902;Canada;1996;Super-Sankey
Total Energy Inputs;Energy Exports;7645;Canada;1996;Super-Sankey
Energy Imports;Total Energy Inputs;2308;Canada;1996;Super-Sankey
Total Energy Inputs;To Other Provinces;0;Canada;1996;Super-Sankey
Total Use;Non-energy use;875;Canada;1996;Super-Sankey
Other Inputs;Total Energy Inputs;172;Canada;1996;Super-Sankey
Energy Use;Producer consumption;1056;Canada;1996;Super-Sankey
Energy Use;Public administration;133;Canada;1996;Super-Sankey
Energy Use;Residential;1336;Canada;1996;Super-Sankey
Statistical difference;Total Energy Inputs;431;Canada;1996;Super-Sankey
Total Energy Inputs;Stocks;11;Canada;1996;Super-Sankey
Energy Use;Industrial;2158;Canada;1996;Super-Sankey
Energy Use;Transportation;2117;Canada;1996;Super-Sankey
Energy Production;Total Energy Inputs;136;Manitoba;1996;Super-Sankey
Energy Use;Agriculture;23;Manitoba;1996;Super-Sankey
Energy Use;Commercial;47;Manitoba;1996;Super-Sankey
Total Use;Energy Use;258;Manitoba;1996;Super-Sankey
Total Energy Inputs;Energy Exports;1;Manitoba;1996;Super-Sankey
Energy Imports;Total Energy Inputs;1;Manitoba;1996;Super-Sankey
From Other Provinces;Total Energy Inputs;1;Manitoba;1996;Super-Sankey
Total Use;Non-energy use;1;Manitoba;1996;Super-Sankey
Other Inputs;Total Energy Inputs;2;Manitoba;1996;Super-Sankey
Energy Use;Producer consumption;1;Manitoba;1996;Super-Sankey
Energy Use;Public administration;5;Manitoba;1996;Super-Sankey
Energy Use;Residential;50;Manitoba;1996;Super-Sankey
Total Energy Inputs;Statistical difference;1;Manitoba;1996;Super-Sankey
Total Energy Inputs;Stocks;1;Manitoba;1996;Super-Sankey
Energy Use;Industrial;36;Manitoba;1996;Super-Sankey
Energy Use;Transportation;96;Manitoba;1996;Super-Sankey
Energy Production;Total Energy Inputs;37;New Brunswick;1996;Super-Sankey
Energy Use;Agriculture;3;New Brunswick;1996;Super-Sankey
Energy Use;Commercial;18;New Brunswick;1996;Super-Sankey
Total Use;Energy Use;176;New Brunswick;1996;Super-Sankey
Total Energy Inputs;Energy Exports;1;New Brunswick;1996;Super-Sankey
Energy Imports;Total Energy Inputs;1;New Brunswick;1996;Super-Sankey
From Other Provinces;Total Energy Inputs;1;New Brunswick;1996;Super-Sankey
Total Use;Non-energy use;1;New Brunswick;1996;Super-Sankey
Other Inputs;Total Energy Inputs;2;New Brunswick;1996;Super-Sankey
Energy Use;Producer consumption;1;New Brunswick;1996;Super-Sankey
Energy Use;Public administration;5;New Brunswick;1996;Super-Sankey
Energy Use;Residential;27;New Brunswick;1996;Super-Sankey
Total Energy Inputs;Statistical difference;1;New Brunswick;1996;Super-Sankey
Total Energy Inputs;Stocks;1;New Brunswick;1996;Super-Sankey
Energy Use;Industrial;57;New Brunswick;1996;Super-Sankey
Energy Use;Transportation;57;New Brunswick;1996;Super-Sankey
Energy Production;Total Energy Inputs;127;Newfoundland and Labrador;1996;Super-Sankey
Energy Use;Agriculture;1;Newfoundland and Labrador;1996;Super-Sankey
Energy Use;Commercial;8;Newfoundland and Labrador;1996;Super-Sankey
Total Use;Energy Use;109;Newfoundland and Labrador;1996;Super-Sankey
Total Energy Inputs;Energy Exports;1;Newfoundland and Labrador;1996;Super-Sankey
Energy Imports;Total Energy Inputs;1;Newfoundland and Labrador;1996;Super-Sankey
From Other Provinces;Total Energy Inputs;1;Newfoundland and Labrador;1996;Super-Sankey
Total Use;Non-energy use;1;Newfoundland and Labrador;1996;Super-Sankey
Other Inputs;Total Energy Inputs;2;Newfoundland and Labrador;1996;Super-Sankey
Energy Use;Producer consumption;1;Newfoundland and Labrador;1996;Super-Sankey
Energy Use;Public administration;9;Newfoundland and Labrador;1996;Super-Sankey
Energy Use;Residential;18;Newfoundland and Labrador;1996;Super-Sankey
Statistical difference;Total Energy Inputs;0;Newfoundland and Labrador;1996;Super-Sankey
Total Energy Inputs;Stocks;1;Newfoundland and Labrador;1996;Super-Sankey
Energy Use;Industrial;36;Newfoundland and Labrador;1996;Super-Sankey
Energy Use;Transportation;38;Newfoundland and Labrador;1996;Super-Sankey
Energy Production;Total Energy Inputs;0;Northwest Territories;1996;Super-Sankey
Energy Use;Agriculture;0;Northwest Territories;1996;Super-Sankey
Energy Use;Commercial;0;Northwest Territories;1996;Super-Sankey
Total Use;Energy Use;0;Northwest Territories;1996;Super-Sankey
Energy Imports;Total Energy Inputs;0;Northwest Territories;1996;Super-Sankey
Total Energy Inputs;To Other Provinces;0;Northwest Territories;1996;Super-Sankey
Total Use;Non-energy use;0;Northwest Territories;1996;Super-Sankey
Other Inputs;Total Energy Inputs;0;Northwest Territories;1996;Super-Sankey
Energy Use;Producer consumption;0;Northwest Territories;1996;Super-Sankey
Energy Use;Public administration;0;Northwest Territories;1996;Super-Sankey
Energy Use;Residential;0;Northwest Territories;1996;Super-Sankey
Statistical difference;Total Energy Inputs;0;Northwest Territories;1996;Super-Sankey
Stocks;Total Energy Inputs;0;Northwest Territories;1996;Super-Sankey
Energy Use;Industrial;0;Northwest Territories;1996;Super-Sankey
Energy Use;Transportation;0;Northwest Territories;1996;Super-Sankey
Energy Production;Total Energy Inputs;136;Nova Scotia;1996;Super-Sankey
Energy Use;Agriculture;4;Nova Scotia;1996;Super-Sankey
Energy Use;Commercial;22;Nova Scotia;1996;Super-Sankey
Total Use;Energy Use;158;Nova Scotia;1996;Super-Sankey
Total Energy Inputs;Energy Exports;1;Nova Scotia;1996;Super-Sankey
Energy Imports;Total Energy Inputs;1;Nova Scotia;1996;Super-Sankey
From Other Provinces;Total Energy Inputs;1;Nova Scotia;1996;Super-Sankey
Total Use;Non-energy use;1;Nova Scotia;1996;Super-Sankey
Other Inputs;Total Energy Inputs;2;Nova Scotia;1996;Super-Sankey
Energy Use;Producer consumption;1;Nova Scotia;1996;Super-Sankey
Energy Use;Public administration;9;Nova Scotia;1996;Super-Sankey
Energy Use;Residential;34;Nova Scotia;1996;Super-Sankey
Total Energy Inputs;Statistical difference;1;Nova Scotia;1996;Super-Sankey
Total Energy Inputs;Stocks;1;Nova Scotia;1996;Super-Sankey
Energy Use;Industrial;24;Nova Scotia;1996;Super-Sankey
Energy Use;Transportation;65;Nova Scotia;1996;Super-Sankey
Energy Use;Agriculture;0;Nunavut;1996;Super-Sankey
Energy Use;Commercial;0;Nunavut;1996;Super-Sankey
Total Use;Energy Use;0;Nunavut;1996;Super-Sankey
Total Energy Inputs;Energy Exports;0;Nunavut;1996;Super-Sankey
Total Energy Inputs;To Other Provinces;0;Nunavut;1996;Super-Sankey
Total Use;Non-energy use;0;Nunavut;1996;Super-Sankey
Other Inputs;Total Energy Inputs;0;Nunavut;1996;Super-Sankey
Energy Use;Public administration;0;Nunavut;1996;Super-Sankey
Energy Use;Residential;0;Nunavut;1996;Super-Sankey
Statistical difference;Total Energy Inputs;0;Nunavut;1996;Super-Sankey
Energy Use;Industrial;0;Nunavut;1996;Super-Sankey
Energy Use;Transportation;0;Nunavut;1996;Super-Sankey
Energy Production;Total Energy Inputs;452;Ontario;1996;Super-Sankey
Energy Use;Agriculture;55;Ontario;1996;Super-Sankey
Energy Use;Commercial;313;Ontario;1996;Super-Sankey
Total Use;Energy Use;2378;Ontario;1996;Super-Sankey
Total Energy Inputs;Energy Exports;997;Ontario;1996;Super-Sankey
